Gene,Cluster
Hist1h2ap,1
Hist1h2an,1
Hist1h2ac,1
Hist1h2ak,1
Hist1h2ae,1
Hist1h2ag,1
Hist1h2ao,1
Hist1h2ad,1
Top2a,1
Hist1h2ah,1
Pcna,1
Hist1h2ab,1
2810417H13Rik,1
Dnmt1,1
Hist1h2af,1
Hist2h2ac,1
Aurkb,1
Cdk1,1
Tk1,1
Lig1,1
Pcna-ps2,1
Rrm2,1
Ube2c,1
Mki67,1
Incenp,1
Gm10184,1
Prc1,1
H1f0,1
Smc2,1
Pbk,1
Tyms,1
Fbxo5,1
Mcm6,1
Tfdp1,1
Dek,1
Smc4,1
Esco2,1
Fam111a,1
Kif11,1
Hist1h1e,1
Kpna2,1
Tcf19,1
Slfn9,1
Tmpo,1
Kif22,1
Fen1,1
Neil3,1
Tubb5,1
Kif15,1
Hjurp,1
Ccnb2,2
Cenpa,2
Cct5,2
Odc1,2
Sfpq,2
Hnrnpa0,2
Atp5g1,2
Cct4,2
Dynll1,2
Rpl7a-ps5,2
2700094K13Rik,2
Oaz1,2
Rpl7a,2
Nhp2,2
Szrd1,2
Hdgf,2
Sap18,2
Hnrnpu,2
Txn1,2
Psma6,2
Ppa1,2
Gm6793,2
Dnaja2,2
Eprs,2
Srsf9,2
Knstrn,2
Ran,2
Pabpc4,2
Aimp1,2
Hnrnpa1,2
Gm8991,2
Timm23,2
Mrpl30,2
Rpl7a-ps3,2
Park7,2
Eif2s2,2
Wdr43,2
Rad23b,2
Hsp90b1,2
Tubb4b,2
Atp5f1,2
Rsl1d1,2
Cdc20,2
Eif3m,2
Gcsh,2
Gspt1,2
Tuba1c,2
Tceb1,2
Psma2,2
Psma7,2
Spock2,3
Slc6a6,3
Fos,3
Egr1,3
Fosb,3
Malat1,3
Mmrn2,3
Klf4,3
Sepp1,3
Cdkn1a,3
Jun,3
Itm2a,3
Mfsd2a,3
Slc7a5,3
Btg2,3
Junb,3
Sparcl1,3
Aplnr,3
Lrp8,3
Cldn5,3
Apod,3
Slco2b1,3
Prnp,3
Nr4a1,3
Tsc22d1,3
Ctla2a,3
Vwa1,3
Nampt,3
Mxd4,3
Nfkbia,3
Klf6,3
Glul,3
Dusp1,3
Foxq1,3
Slc2a1,3
Cxcr4,3
Rhob,3
Slc40a1,3
Tie1,3
Trp53i11,3
Agrn,3
Fzd6,3
Klf2,3
Unc5b,3
Sema6a,3
Jund,3
Plk2,3
Tcf4,3
Pltp,3
Gpcpd1,3
Spock2,4
Gm23935,4
Gm24270,4
Lars2,4
Lrp8,4
Slc6a6,4
Tfrc,4
Malat1,4
Slc7a5,4
Bsg,4
Gm15564,4
Gm25911,4
Sparcl1,4
Mfsd2a,4
Slc7a1,4
Slc38a5,4
Ccnd2,4
Itm2a,4
Mmrn2,4
Cldn5,4
Slc40a1,4
Sepp1,4
Eno1b,4
Slfn5,4
Pglyrp1,4
Cdkn1a,4
Slc3a2,4
Pltp,4
Aplnr,4
Nampt,4
Sparc,4
Tsc22d1,4
Apod,4
Htra3,4
Mxd4,4
Gnb4,4
Col18a1,4
Slc43a2,4
Trp53i11,4
Ablim1,4
Gm24245,4
Igfbp7,4
Abca1,4
Itm2c,4
Slc39a8,4
Mcf2l,4
Tie1,4
Ptprb,4
Foxq1,4
Lmo2,4
Trp53i11,5
Igfbp3,5
Col15a1,5
Mmrn2,5
Cxcr4,5
Cdkn1a,5
Vwf,5
Mcam,5
Kcne3,5
Apln,5
Nid2,5
Esm1,5
Anxa6,5
Cdh13,5
Lamc1,5
Lamb1,5
Pcdh17,5
Hspg2,5
Ccnd2,5
Sparcl1,5
Ctsl,5
Mxd4,5
Pxdn,5
Ptp4a3,5
Unc5b,5
Emcn,5
Piezo2,5
Rell1,5
Jund,5
Ccnd1,5
Myadm,5
Ppp1cc,5
Cxx1b,5
Sox4,5
Lama4,5
Cdc42ep3,5
Ets2,5
Serpinh1,5
Angpt2,5
Sema7a,5
Anxa5,5
Lxn,5
Plxnd1,5
Ctla2a,5
Cotl1,5
Pkm,5
Tspan6,5
Pmepa1,5
Ext1,5
Pde4b,5
Aplnr,6
Gm10073,6
Rps2,6
Wdr89,6
Lrp8,6
Rps12,6
Rps17,6
Tfrc,6
Hmgn2,6
Gm3839,6
Gm5428,6
Gm10076,6
Rps12-ps3,6
Pglyrp1,6
Eno1b,6
Rpl22,6
Rpl41,6
Rpl14,6
Rps16,6
Slc7a5,6
Slc7a1,6
Rpl12,6
Spock2,6
Nme1,6
Rpl30,6
Rpl15,6
Rplp1,6
Slc40a1,6
Slc38a5,6
Rps3a1,6
Rpl36,6
Ppia,6
Rpl28,6
Rps26-ps1,6
Gm10269,6
Hint1,6
Rps25,6
Atp5a1,6
Mfsd2a,6
Slc6a6,6
Rpl37,6
Gnb2l1,6
Rpl6,6
Eno1,6
Rpl3,6
Rps18,6
Pkm,6
Gm10175,6
Rps5,6
Itm2a,6
Ltbp4,7
Gja4,7
Slc6a6,7
Sema3g,7
Stmn2,7
Fbln5,7
Glul,7
Tm4sf1,7
Fstl1,7
Vegfc,7
Unc5b,7
Cxcl12,7
Sox17,7
Prex2,7
Azin1,7
Ptn,7
Nebl,7
Dkk2,7
Cthrc1,7
Ptprb,7
Slc9a3r2,7
Mecom,7
Tmem100,7
Fbln2,7
Podxl,7
Heg1,7
Efnb2,7
Ssfa2,7
Col18a1,7
Tgfb2,7
Bmx,7
Hey1,7
Egfl8,7
Slco1a4,7
Eln,7
Epas1,7
Npr3,7
Olfml2a,7
Entpd1,7
Slco3a1,7
Mgp,7
Sat1,7
Lamb2,7
App,7
Nuak1,7
Ceacam1,7
Eogt,7
Jag1,7
Fryl,7
Id1,7
